PopNumber,PopName,Year,ML,Rep,Plant_ID,ShelfNumber,ShelfPlacement,SEEWRITTENDATA.GerminationDate,LC1,H1,LCH1_Date,LC2,H2,LCH2_Date,GrowthRate_LC (LC2-LC1)/days,GrowthRate_H (H2-H1)/days,FirstFlower_DayInDec
19,Mckinnon,2003,7,1,1.1,1,1,10/6/22,4,6.2,10.18,29,140.4,11.7,1.25,6.71,14
15,Horry1,2012,8,2,1.2,1,2,,3,18.1,10.18,28,126,11.7,1.25,5.395,6
12,Florence,2012,16,4,1.3,1,3,10/6/22,3,17,10.18,27,102,11.7,1.2,4.25,6
12,Florence,2012,16,2,1.4,1,4,10/6/22,4,28.7,10.18,29,113.6,11.7,1.25,4.245,12
14,HareRd,2003,10,1,1.5,1,5,10/6/22,3,13.8,10.18,36,146,11.7,1.65,6.61,9
18,Marion2,2003,5,1,1.6,1,6,10/6/22,4,33.7,10.18,37,131.6,11.7,1.65,4.895,13
18,Marion2,2003,4,4,1.7,1,7,,5,11.7,10.18,36,126.3,11.7,1.55,5.73,13
19,McKinnon,2012,30,4,1.8,1,8,,4,8.1,10.18,45,107.9,11.7,2.05,4.99,12
19,Mckinnon,2003,2,2,1.9,1,9,,3,8.7,10.18,19,88.2,11.7,0.8,3.975,14
15,Horry1,2012,5,4,1.1,1,10,10/6/22,4,29.2,10.18,29,128.6,11.7,1.25,4.97,13
12,Florence,2012,16,1,1.11,1,11,10/6/22,3,36,10.18,39,154.3,11.7,1.8,5.915,9
15,Horry1,2012,37,1,1.12,1,12,,4,29,10.18,42,127.2,11.7,1.9,4.91,12
10,DuplinWest,2003,12,3,1.13,1,13,10/6/22,4,41.5,10.18,43,137.5,11.7,1.95,4.8,13
12,Florence,2012,35,4,1.14,1,14,10/6/22,3,6,10.18,27,102.5,11.7,1.2,4.825,9
18,Marion2,2003,5,4,1.16,1,16,,3,17.7,10.18,31,125.9,11.7,1.4,5.41,10
15,Horry1,2012,24,4,1.17,1,17,,3,5.1,10.18,25,98.3,11.8,1.047619048,4.438095238,14
12,Florence,2003,8,4,1.18,1,18,10/6/22,3,26.3,10.18,43,113.1,11.7,2,4.34,13
15,Horry1,2012,5,1,1.19,1,19,10/6/22,4,27.5,10.18,32,142.1,11.8,1.333333333,5.457142857,9
20,NewBildad,2016,10,3,1.2,1,20,10/6/22,4,15.4,10.18,33,128.6,11.8,1.380952381,5.39047619,10
32,WalnutGrove,2012,14,1,1.21,1,21,10/6/22,4,9.5,10.18,31,149,11.8,1.285714286,6.642857143,11
12,Florence,2012,20,1,1.22,1,22,10/6/22,4,18.4,10.18,39,114.9,11.8,1.666666667,4.595238095,6
32,WalnutGrove,2012,18,2,1.23,1,23,10/6/22,4,6.2,10.18,21,98.1,11.8,0.80952381,4.376190476,NA
10,DuplinWest,2016,3,4,1.24,1,24,10/6/22,4,6.3,10.18,32,96.1,11.8,1.333333333,4.276190476,14
14,HareRoad,2012,9,1,2.1,2,1,,3,23.6,10.18,36,124.5,11.8,1.571428571,4.804761905,16
18,Marion2,2003,2,4,2.2,2,2,10/6/22,3,22.9,10.18,26,121,11.8,1.095238095,4.671428571,16
12,Florence,2012,42,2,2.3,2,3,10/6/22,4,24.1,10.18,48,137,11.8,2.095238095,5.376190476,14
18,Marion2,2012,6,2,2.4,2,4,10/6/22,4,37.8,10.18,33,123.1,11.8,1.380952381,4.061904762,16
14,HareRd,2003,12,4,2.5,2,5,10/6/22,4,47.4,10.18,33,161.4,11.8,1.380952381,5.428571429,14
1,Billings,2012,18,4,2.6,2,6,10/6/22,4,8.1,10.18,28,118.3,11.8,1.142857143,5.247619048,8
