DEBUG 02-05 13:23:33,035 (PGDSpiderGUI.java:<init>:121)  -starting PGD Spider ...
WARN  02-05 13:23:33,037 (PGDSpiderConfig.java:loadConfig:75)  -PGDSpider configuration file not found! Loading default configuration.
DEBUG 02-05 13:23:34,672 (PGDSpiderGUI.java:initializeGUI:220)  -init actions
DEBUG 02-05 13:23:34,673 (PGDSpiderGUI.java:initializeGUI:233)  -init menu bar
DEBUG 02-05 13:23:34,696 (PGDSpiderGUI.java:initializeGUI:244)  -init input panel
DEBUG 02-05 13:23:34,698 (ParserFactory.java:getParserInstance:161)  -New PGDParser instance
DEBUG 02-05 13:23:34,706 (ParserFactory.java:getParserInstance:53)  -New ArlequinParser instance
DEBUG 02-05 13:23:34,713 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAMOVA is missing!
DEBUG 02-05 13:23:34,714 (ParserFactory.java:getParserInstance:57)  -New BamParser instance
DEBUG 02-05 13:23:34,720 (ParserFactory.java:getParserInstance:61)  -New BapsParser instance
DEBUG 02-05 13:23:34,723 (ParserFactory.java:getParserInstance:65)  -New BatwingParser instance
DEBUG 02-05 13:23:34,724 (ParserFactory.java:getParserInstance:185)  -Parser for type: BAYENV is missing!
DEBUG 02-05 13:23:34,724 (ParserFactory.java:getParserInstance:69)  -New BcfParser instance
DEBUG 02-05 13:23:34,726 (ParserFactory.java:getParserInstance:73)  -New ConvertParser instance
DEBUG 02-05 13:23:34,728 (ParserFactory.java:getParserInstance:77)  -New EigensoftParser instance
DEBUG 02-05 13:23:34,730 (ParserFactory.java:getParserInstance:181)  -New ExtendedFastaParser instance
DEBUG 02-05 13:23:34,733 (ParserFactory.java:getParserInstance:81)  -New FastaParser instance
DEBUG 02-05 13:23:34,733 (ParserFactory.java:getParserInstance:85)  -New FastqParser instance
DEBUG 02-05 13:23:34,734 (ParserFactory.java:getParserInstance:185)  -Parser for type: FDist2 (datacal) is missing!
DEBUG 02-05 13:23:34,734 (ParserFactory.java:getParserInstance:89)  -New FstatParser instance
DEBUG 02-05 13:23:34,736 (ParserFactory.java:getParserInstance:93)  -New GdaParser instance
DEBUG 02-05 13:23:34,737 (ParserFactory.java:getParserInstance:97)  -New GenelandParser instance
DEBUG 02-05 13:23:34,739 (ParserFactory.java:getParserInstance:101)  -New GenepopParser instance
DEBUG 02-05 13:23:34,740 (ParserFactory.java:getParserInstance:105)  -New GenetixParser instance
DEBUG 02-05 13:23:34,741 (ParserFactory.java:getParserInstance:185)  -Parser for type: GESTE / BayeScan is missing!
DEBUG 02-05 13:23:34,741 (ParserFactory.java:getParserInstance:109)  -New HgdpParser instance
DEBUG 02-05 13:23:34,742 (ParserFactory.java:getParserInstance:113)  -New HgdpCephParser instance
DEBUG 02-05 13:23:34,744 (ParserFactory.java:getParserInstance:117)  -New Ima2Parser instance
DEBUG 02-05 13:23:34,746 (ParserFactory.java:getParserInstance:121)  -New ImmancParser instance
DEBUG 02-05 13:23:34,747 (ParserFactory.java:getParserInstance:125)  -New ImParser instance
DEBUG 02-05 13:23:34,749 (ParserFactory.java:getParserInstance:185)  -Parser for type: KML is missing!
DEBUG 02-05 13:23:34,749 (ParserFactory.java:getParserInstance:129)  -New MafParser instance
DEBUG 02-05 13:23:34,752 (ParserFactory.java:getParserInstance:133)  -New MegaParser instance
DEBUG 02-05 13:23:34,754 (ParserFactory.java:getParserInstance:137)  -New MigrateParser instance
DEBUG 02-05 13:23:34,756 (ParserFactory.java:getParserInstance:141)  -New MsaParser instance
DEBUG 02-05 13:23:34,757 (ParserFactory.java:getParserInstance:185)  -Parser for type: MSVar is missing!
DEBUG 02-05 13:23:34,757 (ParserFactory.java:getParserInstance:145)  -New NewHybridsParser instance
DEBUG 02-05 13:23:34,760 (ParserFactory.java:getParserInstance:149)  -New NexusParser instance
DEBUG 02-05 13:23:34,764 (ParserFactory.java:getParserInstance:153)  -New OneSampParser instance
DEBUG 02-05 13:23:34,765 (ParserFactory.java:getParserInstance:157)  -New PedParser instance
DEBUG 02-05 13:23:34,767 (ParserFactory.java:getParserInstance:165)  -New PhylipParser instance
DEBUG 02-05 13:23:34,769 (ParserFactory.java:getParserInstance:169)  -New SamParser instance
DEBUG 02-05 13:23:34,771 (ParserFactory.java:getParserInstance:185)  -Parser for type: Structurama is missing!
DEBUG 02-05 13:23:34,771 (ParserFactory.java:getParserInstance:173)  -New StructureParser instance
DEBUG 02-05 13:23:34,774 (ParserFactory.java:getParserInstance:177)  -New VcfParser instance
